package	version	type	filename	url	sha256	size	provenance
httpcore	1.0.9	wheel	httpcore-1.0.9-py3-none-any.whl	https://files.pythonhosted.org/packages/7e/f5/f66802a942d491edb555dd61e3a9961140fd64c90bce1eafd741609d334d/httpcore-1.0.9-py3-none-any.whl	2d400746a40668fc9dec9810239072b40b4484b640a8c38fd654a024c7a1bf55	78784	uv.lock
httpcore2	2.7.0	wheel	httpcore2-2.7.0-py3-none-any.whl	https://files.pythonhosted.org/packages/6f/6c/62e2e279e63fc4f7a5ee841ef13175a8bbc613f258e9dcc186e9de803a42/httpcore2-2.7.0-py3-none-any.whl	1452f589fe23f55b44546cd884294c41a29330af902bc0b71a761fd52d18f92b	81506	uv.lock
httplib2	0.32.0	wheel	httplib2-0.32.0-py3-none-any.whl	https://files.pythonhosted.org/packages/33/a0/550eec327e5f5c7b732531c489f5307efec41f047b0d703bd4ca1e5ad2db/httplib2-0.32.0-py3-none-any.whl	dc6705cacdf3fb0a2aba7629fa33c90fd93e30035db0c157325826be177e4816	93148	uv.lock
httptools	0.7.1	wheel	httptools-0.7.1-cp311-cp311-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	https://files.pythonhosted.org/packages/cc/cc/10935db22fda0ee34c76f047590ca0a8bd9de531406a3ccb10a90e12ea21/httptools-0.7.1-cp311-cp311-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	379b479408b8747f47f3b253326183d7c009a3936518cdb70db58cffd369d9df	456621	uv.lock
httpx	0.28.1	wheel	httpx-0.28.1-py3-none-any.whl	https://files.pythonhosted.org/packages/2a/39/e50c7c3a983047577ee07d2a9e53faf5a69493943ec3f6a384bdc792deb2/httpx-0.28.1-py3-none-any.whl	d909fcccc110f8c7faf814ca82a9a4d816bc5a6dbfea25d6591d6985b8ba59ad	73517	uv.lock
httpx2	2.7.0	wheel	httpx2-2.7.0-py3-none-any.whl	https://files.pythonhosted.org/packages/1d/b8/c341bba6411bdfda786020343c47a75ef472f6085caf82391b142b1a3ad9/httpx2-2.7.0-py3-none-any.whl	ed2a2719c696789e09493bd8e2bec3d8bd925cc6e26b68389ec25ade132f7bf4	90234	uv.lock
idna	3.18	wheel	idna-3.18-py3-none-any.whl	https://files.pythonhosted.org/packages/1e/5e/d4e9f1a599fb8e573b7b87160658329fbf28d19eac2718f51fc3def3aa5a/idna-3.18-py3-none-any.whl	7f952cbe720b688055e3f87de14f5c3e5fdaa8bc3928985c4077ca689de849a2	65455	uv.lock
importlib_metadata	8.7.1	wheel	importlib_metadata-8.7.1-py3-none-any.whl	https://files.pythonhosted.org/packages/fa/5e/f8e9a1d23b9c20a551a8a02ea3637b4642e22c2626e3a13a9a29cdea99eb/importlib_metadata-8.7.1-py3-none-any.whl	5a1f80bf1daa489495071efbb095d75a634cf28a8bc299581244063b53176151	27865	uv.lock
Jinja2	3.1.6	wheel	jinja2-3.1.6-py3-none-any.whl	https://files.pythonhosted.org/packages/62/a1/3d680cbfd5f4b8f15abc1d571870c5fc3e594bb582bc3b64ea099db13e56/jinja2-3.1.6-py3-none-any.whl	85ece4451f492d0c13c5dd7c13a64681a86afae63a5f347908daf103ce6d2f67	134899	uv.lock
jiter	0.13.0	wheel	jiter-0.13.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	https://files.pythonhosted.org/packages/6e/09/9fe4c159358176f82d4390407a03f506a8659ed13ca3ac93a843402acecf/jiter-0.13.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	24ab43126d5e05f3d53a36a8e11eb2f23304c6c1117844aaaf9a0aa5e40b5018	362683	uv.lock
jmespath	1.1.0	wheel	jmespath-1.1.0-py3-none-any.whl	https://files.pythonhosted.org/packages/14/2f/967ba146e6d58cf6a652da73885f52fc68001525b4197effc174321d70b4/jmespath-1.1.0-py3-none-any.whl	a5663118de4908c91729bea0acadca56526eb2698e83de10cd116ae0f4e97c64	20419	uv.lock
jsonschema	4.26.0	wheel	jsonschema-4.26.0-py3-none-any.whl	https://files.pythonhosted.org/packages/69/90/f63fb5873511e014207a475e2bb4e8b2e570d655b00ac19a9a0ca0a385ee/jsonschema-4.26.0-py3-none-any.whl	d489f15263b8d200f8387e64b4c3a75f06629559fb73deb8fdfb525f2dab50ce	90630	uv.lock
jsonschema-specifications	2025.9.1	wheel	jsonschema_specifications-2025.9.1-py3-none-any.whl	https://files.pythonhosted.org/packages/41/45/1a4ed80516f02155c51f51e8cedb3c1902296743db0bbc66608a0db2814f/jsonschema_specifications-2025.9.1-py3-none-any.whl	98802fee3a11ee76ecaca44429fda8a41bff98b00a0f2838151b113f210cc6fe	18437	uv.lock
Markdown	3.10.2	wheel	markdown-3.10.2-py3-none-any.whl	https://files.pythonhosted.org/packages/de/1f/77fa3081e4f66ca3576c896ae5d31c3002ac6607f9747d2e3aa49227e464/markdown-3.10.2-py3-none-any.whl	e91464b71ae3ee7afd3017d9f358ef0baf158fd9a298db92f1d4761133824c36	108180	uv.lock
markdown-it-py	4.0.0	wheel	markdown_it_py-4.0.0-py3-none-any.whl	https://files.pythonhosted.org/packages/94/54/e7d793b573f298e1c9013b8c4dade17d481164aa517d1d7148619c2cedbf/markdown_it_py-4.0.0-py3-none-any.whl	87327c59b172c5011896038353a81343b6754500a08cd7a4973bb48c6d578147	87321	uv.lock
MarkupSafe	3.0.3	wheel	markupsafe-3.0.3-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/30/ac/0273f6fcb5f42e314c6d8cd99effae6a5354604d461b8d392b5ec9530a54/markupsafe-3.0.3-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	0bf2a864d67e76e5c9a34dc26ec616a66b9888e25e7b9460e1c76d3293bd9dbf	22940	uv.lock
mcp	2.0.0	wheel	mcp-2.0.0-py3-none-any.whl	https://files.pythonhosted.org/packages/67/72/7d7897418912c1d12e87556630dfb7bf0eac71160e9bef8b447960804ee3/mcp-2.0.0-py3-none-any.whl	1cb4c75d2d2c7b8c1d756355e5d82a39f2822cc7f13e22a2051d7ca3592349d6	349980	uv.lock
mcp-types	2.0.0	wheel	mcp_types-2.0.0-py3-none-any.whl	https://files.pythonhosted.org/packages/f5/4c/c78d78c3d52b0ac594ad7cc8ef5972adfe070e3597a8a4c6ce0cd39196ea/mcp_types-2.0.0-py3-none-any.whl	6b2de797ca2797f568b79529e1b25948e34de511bcc0bd82fef1039a6d1b8eb0	69649	uv.lock
mdurl	0.1.2	wheel	mdurl-0.1.2-py3-none-any.whl	https://files.pythonhosted.org/packages/b3/38/89ba8ad64ae25be8de66a6d463314cf1eb366222074cfda9ee839c56a4b4/mdurl-0.1.2-py3-none-any.whl	84008a41e51615a49fc9966191ff91509e3c40b939176e643fd50a5c2196b8f8	9979	uv.lock
multidict	6.7.1	wheel	multidict-6.7.1-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/5a/56/21b27c560c13822ed93133f08aa6372c53a8e067f11fbed37b4adcdac922/multidict-6.7.1-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	439cbebd499f92e9aa6793016a8acaa161dfa749ae86d20960189f5398a19144	246293	uv.lock
